geography_name,immigrant_status,Total,Owner,Renter,renter_owner_gap,csd_code,cma,join_key,tot_pop,tot_income,own_pop,own_income,rent_pop,rent_income,annual_housing_cost_total,annual_housing_cost_owner,annual_housing_cost_renter
Hampstead (2466062) V 00000,Non-immigrants,17.7,15.6,27.7,12.1,2466062,Montréal,2466062|Non-immigrants,3845.0,376800.0,3180.0,432800.0,665.0,108800.0,66693.6,67516.8,30137.6
Markham (3519036) CY 00000,Non-immigrants,18.9,16.8,28.7,11.9,3519036,Toronto,3519036|Non-immigrants,59195.0,190200.0,48590.0,207200.0,10610.0,112200.0,35947.799999999996,34809.6,32201.4
Pointe-Claire (2466097) V 00000,Total Immigrant Status,17.6,14.9,26.6,11.7,2466097,Montréal,2466097|Total Immigrant Status,31010.0,147600.0,23820.0,158800.0,7190.0,110500.0,25977.6,23661.2,29393.0
Mont-Royal (2466072) V 00000,Non-immigrants,14.8,13.0,24.5,11.5,2466072,Montréal,2466072|Non-immigrants,9990.0,352400.0,8435.0,395600.0,1555.0,117700.0,52155.2,51428.0,28836.5
Devon (4811018) T 00000,Non-immigrants,20.9,18.7,30.0,11.3,4811018,Edmonton,4811018|Non-immigrants,5870.0,123400.0,4710.0,134000.0,1160.0,80200.0,25790.6,25058.0,24060.0
Léry (2467055) V 00000,Non-immigrants,16.6,15.1,26.4,11.3,2467055,Montréal,2467055|Non-immigrants,2160.0,147200.0,1875.0,160000.0,290.0,62800.0,24435.2,24160.0,16579.2
Charlemagne (2460005) V 00000,Immigrant,21.8,18.6,29.9,11.3,2460005,Montréal,2460005|Immigrant,575.0,91600.0,405.0,105600.0,165.0,56400.0,19968.8,19641.600000000002,16863.6
West Vancouver (5915055) DM 00000,Total Immigrant Status,25.8,22.8,34.0,11.2,5915055,Vancouver,5915055|Total Immigrant Status,38010.0,281600.0,27645.0,320000.0,10360.0,179400.0,72652.8,72960.0,60996.0
Carignan (2457010) V 00000,Immigrant,18.9,18.5,29.6,11.1,2457010,Montréal,2457010|Immigrant,1630.0,156800.0,1575.0,154200.0,60.0,230000.0,29635.2,28527.0,68080.0
Richmond Hill (3519038) T 00000,Non-immigrants,18.5,16.5,27.6,11.1,3519038,Toronto,3519038|Non-immigrants,43030.0,199600.0,35080.0,218600.0,7945.0,115800.0,36926.0,36069.0,31960.8
Westmount (2466032) V 00000,Immigrant,22.9,18.0,29.0,11.0,2466032,Montréal,2466032|Immigrant,6715.0,297200.0,3710.0,428000.0,3005.0,135400.0,68058.8,77040.0,39266.0
Aurora (3519046) T 00000,Non-immigrants,18.1,16.3,27.3,11.0,3519046,Toronto,3519046|Non-immigrants,29775.0,220200.0,24740.0,242400.0,5030.0,111700.0,39856.200000000004,39511.2,30494.1
Saint-Lambert (2458012) V 00000,Total Immigrant Status,17.7,14.5,25.3,10.8,2458012,Montréal,2458012|Total Immigrant Status,21450.0,206800.0,15060.0,260400.0,6390.0,80900.0,36603.6,37758.0,20467.7
Saint-Lambert (2458012) V 00000,Non-immigrants,16.8,14.1,24.9,10.8,2458012,Montréal,2458012|Non-immigrants,16795.0,224600.0,12575.0,271600.0,4220.0,84400.0,37732.8,38295.6,21015.6
Vaughan (3519028) CY 00000,Total Immigrant Status,21.9,20.6,31.4,10.8,3519028,Toronto,3519028|Total Immigrant Status,313230.0,179600.0,277735.0,188200.0,35490.0,111500.0,39332.399999999994,38769.200000000004,35011.0
Candiac (2467020) V 00000,Non-immigrants,14.7,13.2,23.9,10.7,2467020,Montréal,2467020|Non-immigrants,17040.0,215000.0,14595.0,236800.0,2440.0,85100.0,31605.0,31257.6,20338.899999999998
Mono (3522012) T 00000,Non-immigrants,17.5,17.0,27.6,10.6,3522012,Toronto,3522012|Non-immigrants,6385.0,208200.0,6125.0,212200.0,260.0,115000.0,36435.0,36074.0,31740.0
St. Albert (4811062) CY 00000,Non-immigrants,18.2,16.9,27.5,10.6,4811062,Edmonton,4811062|Non-immigrants,55355.0,163200.0,48290.0,173200.0,7070.0,95300.0,29702.4,29270.799999999996,26207.5
Saint-Mathieu-de-Beloeil (2457045) MÉ 00000,Total Immigrant Status,15.9,14.6,25.2,10.6,2457045,Montréal,2457045|Total Immigrant Status,2905.0,154400.0,2545.0,163400.0,360.0,90400.0,24549.6,23856.4,22780.8
Saint-Mathieu-de-Beloeil (2457045) MÉ 00000,Non-immigrants,15.9,14.5,25.0,10.5,2457045,Montréal,2457045|Non-immigrants,2770.0,153600.0,2420.0,162600.0,345.0,91600.0,24422.4,23577.0,22900.0
Boucherville (2458033) V 00000,Non-immigrants,13.5,12.3,22.6,10.3,2458033,Montréal,2458033|Non-immigrants,35575.0,176200.0,31555.0,188200.0,4020.0,81100.0,23787.0,23148.6,18328.6
Oakville (3524001) T 00000,Total Immigrant Status,21.4,19.5,29.8,10.3,3524001,Toronto,3524001|Total Immigrant Status,203060.0,219400.0,164735.0,240200.0,38330.0,130200.0,46951.6,46839.0,38799.6
Calmar (4811019) T 00000,Non-immigrants,21.5,19.8,30.1,10.3,4811019,Edmonton,4811019|Non-immigrants,2030.0,114100.0,1685.0,120700.0,345.0,82000.0,24531.5,23898.6,24682.0
Saint-Bruno-de-Montarville (2458037) V 00000,Non-immigrants,13.5,12.5,22.7,10.2,2458037,Montréal,2458037|Non-immigrants,22150.0,183800.0,20135.0,194800.0,2015.0,73400.0,24813.0,24350.0,16661.8
Kirkland (2466102) V 00000,Non-immigrants,13.3,12.7,22.8,10.1,2466102,Montréal,2466102|Non-immigrants,10320.0,199200.0,9685.0,204400.0,630.0,121200.0,26493.6,25958.8,27633.6
Hudson (2471100) V 00000,Total Immigrant Status,17.3,16.5,26.6,10.1,2471100,Montréal,2471100|Total Immigrant Status,5330.0,185400.0,4915.0,195600.0,415.0,66000.0,32074.2,32274.0,17556.0
Gibbons (4811064) T 00010,Non-immigrants,18.0,16.9,27.0,10.1,4811064,Edmonton,4811064|Non-immigrants,2980.0,137000.0,2655.0,142800.0,325.0,90000.0,24660.0,24133.2,24300.0
Bon Accord (4811066) T 00000,Non-immigrants,21.8,20.7,30.8,10.1,4811066,Edmonton,4811066|Non-immigrants,1390.0,117800.0,1230.0,122800.0,155.0,78000.0,25680.4,25419.6,24024.0
Strathcona County (4811052) SM 00000,Non-immigrants,17.2,16.1,26.2,10.1,4811052,Edmonton,4811052|Non-immigrants,83335.0,172200.0,74510.0,180400.0,8825.0,102000.0,29618.4,29044.400000000005,26724.0
Beaconsfield (2466107) V 00000,Non-immigrants,13.9,13.1,23.1,10.0,2466107,Montréal,2466107|Non-immigrants,12280.0,238800.0,11350.0,250200.0,930.0,99600.0,33193.2,32776.2,23007.6
Léry (2467055) V 00000,Total Immigrant Status,17.1,15.7,25.7,10.0,2467055,Montréal,2467055|Total Immigrant Status,2375.0,148400.0,2055.0,157800.0,320.0,87200.0,25376.4,24774.6,22410.4
Saint-Zotique (2471025) MÉ 00000,Immigrant,20.4,18.4,28.4,10.0,2471025,Montréal,2471025|Immigrant,555.0,92400.0,440.0,100000.0,115.0,63000.0,18849.6,18399.999999999996,17892.0
Devon (4811018) T 00000,Total Immigrant Status,20.9,18.8,28.8,10.0,4811018,Edmonton,4811018|Total Immigrant Status,6345.0,121900.0,5035.0,131800.0,1310.0,83900.0,25477.1,24778.4,24163.2
Calmar (4811019) T 00000,Total Immigrant Status,21.4,19.8,29.8,10.0,4811019,Edmonton,4811019|Total Immigrant Status,2165.0,113500.0,1815.0,119900.0,355.0,80800.0,24289.0,23740.2,24078.4
Brossard (2458007) V 00000,Non-immigrants,16.6,13.7,23.5,9.8,2458007,Montréal,2458007|Non-immigrants,36485.0,130800.0,25795.0,150200.0,10685.0,83800.0,21712.8,20577.4,19693.0
Spruce Grove (4811049) CY 00000,Non-immigrants,19.9,17.8,27.6,9.8,4811049,Edmonton,4811049|Non-immigrants,32395.0,137400.0,25680.0,149600.0,6720.0,91000.0,27342.6,26628.8,25116.0
Gibbons (4811064) T 00010,Total Immigrant Status,18.2,17.2,27.0,9.8,4811064,Edmonton,4811064|Total Immigrant Status,3135.0,137000.0,2805.0,142400.0,325.0,90000.0,24934.0,24492.8,24300.0
Candiac (2467020) V 00000,Total Immigrant Status,16.2,14.9,24.6,9.7,2467020,Montréal,2467020|Total Immigrant Status,22205.0,198800.0,19180.0,216800.0,3030.0,84900.0,32205.6,32303.2,20885.4
Baie-D'Urfé (2466112) V 00000,Non-immigrants,13.9,13.5,23.2,9.7,2466112,Montréal,2466112|Non-immigrants,2265.0,248200.0,2190.0,252000.0,75.0,132000.0,34499.8,34020.0,30624.0
"Toronto (CMA), Ont. 00000",Non-immigrants,20.2,17.6,27.3,9.7,,Toronto,"Toronto , Ont. 00000|Non-immigrants",2060475.0,189600.0,1510640.0,221000.0,549830.0,103800.0,38299.2,38896.00000000001,28337.4
Saint-Lambert (2458012) V 00000,Immigrant,21.0,16.5,26.1,9.6,2458012,Montréal,2458012|Immigrant,4650.0,142600.0,2480.0,202400.0,2165.0,74200.0,29946.0,33396.0,19366.2
East Gwillimbury (3519054) T 00000,Non-immigrants,19.2,17.7,27.3,9.6,3519054,Toronto,3519054|Non-immigrants,19725.0,168800.0,16670.0,178200.0,3055.0,118200.0,32409.6,31541.4,32268.6
Toronto (3520005) C 00000,Non-immigrants,21.6,17.9,27.5,9.6,3520005,Toronto,3520005|Non-immigrants,950235.0,197600.0,588470.0,255800.0,361765.0,103200.0,42681.6,45788.2,28380.0
Sainte-Anne-de-Bellevue (2466117) V 00000,Total Immigrant Status,18.3,14.9,24.5,9.6,2466117,Montréal,2466117|Total Immigrant Status,4555.0,147600.0,2955.0,189000.0,1600.0,70900.0,27010.8,28161.0,17370.5
Sainte-Anne-de-Bellevue (2466117) V 00000,Non-immigrants,17.1,13.9,23.5,9.6,2466117,Montréal,2466117|Non-immigrants,3135.0,160800.0,2090.0,202800.0,1050.0,77000.0,27496.8,28189.2,18095.0
Newmarket (3519048) T 00000,Non-immigrants,18.5,16.3,25.9,9.6,3519048,Toronto,3519048|Non-immigrants,46650.0,168000.0,36155.0,187600.0,10495.0,100400.0,31080.0,30578.8,26003.6
Spruce Grove (4811049) CY 00000,Total Immigrant Status,20.1,18.1,27.7,9.6,4811049,Edmonton,4811049|Total Immigrant Status,37145.0,136600.0,29345.0,148600.0,7795.0,91000.0,27456.6,26896.6,25207.0
Beaconsfield (2466107) V 00000,Total Immigrant Status,15.9,15.2,24.7,9.5,2466107,Montréal,2466107|Total Immigrant Status,18620.0,220600.0,17130.0,229400.0,1490.0,120000.0,35075.4,34868.8,29640.0
Stony Plain (4811048) T 00000,Non-immigrants,20.3,18.0,27.5,9.5,4811048,Edmonton,4811048|Non-immigrants,15575.0,125800.0,11835.0,138200.0,3735.0,86600.0,25537.4,24876.0,23815.0
Strathcona County (4811052) SM 00000,Total Immigrant Status,17.3,16.2,25.7,9.5,4811052,Edmonton,4811052|Total Immigrant Status,95990.0,172000.0,85375.0,180600.0,10620.0,103400.0,29756.0,29257.2,26573.8
White Rock (5915007) CY 00000,Non-immigrants,22.6,19.3,28.8,9.5,5915007,Vancouver,5915007|Non-immigrants,13055.0,141600.0,8465.0,163400.0,4590.0,101500.0,32001.6,31536.2,29232.0
Pickering (3518001) CY 00000,Non-immigrants,18.4,17.1,26.5,9.4,3518001,Toronto,3518001|Non-immigrants,46360.0,171800.0,39795.0,183400.0,6560.0,101700.0,31611.199999999997,31361.400000000005,26950.5
St. Albert (4811062) CY 00000,Total Immigrant Status,18.4,17.1,26.5,9.4,4811062,Edmonton,4811062|Total Immigrant Status,66160.0,160800.0,56810.0,171000.0,9350.0,99000.0,29587.2,29241.000000000004,26235.0
Saint-Zotique (2471025) MÉ 00000,Non-immigrants,16.6,14.7,24.0,9.3,2471025,Montréal,2471025|Non-immigrants,8920.0,118100.0,7140.0,127800.0,1790.0,79700.0,19604.600000000002,18786.6,19128.0
Halton Hills (3524015) T 00000,Non-immigrants,17.8,16.8,26.1,9.3,3524015,Toronto,3524015|Non-immigrants,45365.0,181400.0,40405.0,191400.0,4960.0,100200.0,32289.2,32155.2,26152.2
Delta (5915011) CY 00000,Non-immigrants,18.5,16.5,25.8,9.3,5915011,Vancouver,5915011|Non-immigrants,54465.0,158000.0,42435.0,170800.0,12030.0,113000.0,29230.0,28182.0,29154.0
Kirkland (2466102) V 00000,Total Immigrant Status,15.6,15.1,24.4,9.3,2466102,Montréal,2466102|Total Immigrant Status,18695.0,183000.0,17545.0,187200.0,1150.0,118400.0,28548.0,28267.2,28889.6
Saint-Zotique (2471025) MÉ 00000,Total Immigrant Status,16.8,14.9,24.2,9.3,2471025,Montréal,2471025|Total Immigrant Status,9475.0,116700.0,7575.0,126200.0,1900.0,78700.0,19605.6,18803.8,19045.4
Sainte-Anne-de-Bellevue (2466117) V 00000,Immigrant,20.9,17.3,26.5,9.2,2466117,Montréal,2466117|Immigrant,1415.0,118300.0,865.0,156000.0,550.0,59400.0,24724.7,26988.0,15741.0
Vaughan (3519028) CY 00000,Immigrant,23.8,22.6,31.8,9.2,3519028,Toronto,3519028|Immigrant,204965.0,161600.0,179805.0,168800.0,25160.0,109200.0,38460.8,38148.8,34725.6
Milton (3524009) T 00000,Non-immigrants,19.7,18.3,27.5,9.2,3524009,Toronto,3524009|Non-immigrants,52620.0,170600.0,44580.0,180800.0,8040.0,114300.0,33608.2,33086.4,31432.5
Pitt Meadows (5915070) CY 00000,Non-immigrants,19.4,17.7,26.9,9.2,5915070,Vancouver,5915070|Non-immigrants,12315.0,143200.0,10060.0,155200.0,2255.0,89600.0,27780.8,27470.4,24102.4
Boucherville (2458033) V 00000,Total Immigrant Status,13.9,12.9,22.0,9.1,2458033,Montréal,2458033|Total Immigrant Status,40695.0,174000.0,36065.0,185600.0,4635.0,82400.0,24186.0,23942.4,18128.0
Hudson (2471100) V 00000,Non-immigrants,16.9,16.1,25.2,9.1,2471100,Montréal,2471100|Non-immigrants,4160.0,193000.0,3800.0,204600.0,360.0,69200.0,32616.999999999996,32940.600000000006,17438.4
Halton Hills (3524015) T 00000,Immigrant,21.6,20.8,29.9,9.1,3524015,Toronto,3524015|Immigrant,16020.0,168200.0,14665.0,175000.0,1360.0,96700.0,36331.200000000004,36400.0,28913.3
Fort Saskatchewan (4811056) CY 00000,Non-immigrants,18.1,16.3,25.4,9.1,4811056,Edmonton,4811056|Non-immigrants,23255.0,150000.0,18565.0,164000.0,4690.0,94200.0,27150.0,26732.0,23926.8
La Prairie (2467015) V 00000,Non-immigrants,15.6,13.6,22.6,9.0,2467015,Montréal,2467015|Non-immigrants,20040.0,142800.0,15545.0,163600.0,4495.0,70400.0,22276.8,22249.6,15910.4
Saint-Bruno-de-Montarville (2458037) V 00000,Total Immigrant Status,13.8,13.0,22.0,9.0,2458037,Montréal,2458037|Total Immigrant Status,25750.0,179600.0,23380.0,190200.0,2370.0,75000.0,24784.8,24726.0,16500.0
Mississauga (3521005) CY 00000,Non-immigrants,19.2,17.2,26.2,9.0,3521005,Toronto,3521005|Non-immigrants,183860.0,177400.0,142260.0,200400.0,41605.0,98500.0,34060.8,34468.8,25807.0
Halton Hills (3524015) T 00000,Total Immigrant Status,18.8,17.9,26.9,9.0,3524015,Toronto,3524015|Total Immigrant Status,61390.0,178000.0,55070.0,187000.0,6320.0,99400.0,33464.0,33472.99999999999,26738.6
Richmond (5915015) CY 00000,Non-immigrants,19.6,16.8,25.8,9.0,5915015,Vancouver,5915015|Non-immigrants,44130.0,147800.0,30610.0,164600.0,13525.0,110000.0,28968.8,27652.8,28380.0
Morinville (4811068) T 00000,Non-immigrants,19.4,18.2,27.1,8.9,4811068,Edmonton,4811068|Non-immigrants,9385.0,134400.0,8100.0,141200.0,1285.0,91500.0,26073.6,25698.4,24796.5
Pincourt (2471070) V 00000,Non-immigrants,15.9,15.1,24.0,8.9,2471070,Montréal,2471070|Non-immigrants,10795.0,129200.0,9825.0,134800.0,970.0,73800.0,20542.8,20354.8,17712.0
Burnaby (5915025) CY 00000,Non-immigrants,20.0,16.8,25.7,8.9,5915025,Vancouver,5915025|Non-immigrants,76200.0,149800.0,48665.0,177000.0,27535.0,101700.0,29960.0,29736.0,26136.9
Dorval (2466087) V 00000,Non-immigrants,16.8,14.3,23.1,8.8,2466087,Montréal,2466087|Non-immigrants,12150.0,159600.0,8690.0,194000.0,3465.0,73500.0,26812.8,27742.0,16978.5
Orangeville (3522014) T 00000,Non-immigrants,20.9,19.2,28.0,8.8,3522014,Toronto,3522014|Non-immigrants,23510.0,137600.0,18865.0,150800.0,4645.0,83700.0,28758.4,28953.6,23436.0
"Edmonton (CMA), Alta. 00000",Non-immigrants,19.7,17.5,26.3,8.8,,Edmonton,"Edmonton , Alta. 00000|Non-immigrants",878150.0,143000.0,654765.0,162000.0,223385.0,87800.0,28171.0,28350.0,23091.4
Coquitlam (5915034) CY 00000,Non-immigrants,18.8,16.5,25.3,8.8,5915034,Vancouver,5915034|Non-immigrants,57030.0,156200.0,41940.0,174200.0,15085.0,106500.0,29365.6,28743.0,26944.5
Richelieu (2455057) V 00000,Immigrant,18.3,15.5,24.2,8.7,2455057,Montréal,2455057|Immigrant,255.0,143000.0,170.0,176000.0,85.0,72000.0,26169.0,27280.0,17424.0
Caledon (3521024) T 00000,Non-immigrants,18.2,17.5,26.2,8.7,3521024,Toronto,3521024|Non-immigrants,42045.0,183600.0,38510.0,190000.0,3535.0,114100.0,33415.2,33250.0,29894.2
Fort Saskatchewan (4811056) CY 00000,Total Immigrant Status,18.3,16.6,25.3,8.7,4811056,Edmonton,4811056|Total Immigrant Status,26340.0,147800.0,21015.0,161600.0,5325.0,93500.0,27047.4,26825.6,23655.5
Edmonton (4811061) CY 00000,Non-immigrants,20.5,17.7,26.4,8.7,4811061,Edmonton,4811061|Non-immigrants,540335.0,135400.0,366525.0,159000.0,173805.0,85600.0,27757.0,28143.0,22598.4
Côte-Saint-Luc (2466058) V 00000,Non-immigrants,21.2,18.0,26.6,8.6,2466058,Montréal,2466058|Non-immigrants,13395.0,172200.0,8520.0,223800.0,4880.0,82000.0,36506.4,40284.0,21812.0
Stony Plain (4811048) T 00000,Total Immigrant Status,20.3,18.2,26.8,8.6,4811048,Edmonton,4811048|Total Immigrant Status,17100.0,126000.0,12950.0,137200.0,4150.0,90900.0,25578.0,24970.4,24361.2
White Rock (5915007) CY 00000,Total Immigrant Status,24.0,21.2,29.8,8.6,5915007,Vancouver,5915007|Total Immigrant Status,19825.0,140600.0,13440.0,159400.0,6385.0,101100.0,33744.0,33792.8,30127.8
Port Coquitlam (5915039) CY 00000,Non-immigrants,18.7,17.0,25.6,8.6,5915039,Vancouver,5915039|Non-immigrants,32280.0,142600.0,25755.0,154800.0,6530.0,95300.0,26666.2,26316.0,24396.8
Boisbriand (2473005) V 00000,Non-immigrants,16.7,14.1,22.7,8.6,2473005,Montréal,2473005|Non-immigrants,22555.0,127100.0,15750.0,148200.0,6805.0,78300.0,21225.7,20896.2,17774.1
Sainte-Catherine (2467030) V 00000,Non-immigrants,16.5,14.7,23.1,8.4,2467030,Montréal,2467030|Non-immigrants,14115.0,117600.0,11095.0,129400.0,3025.0,74100.0,19404.0,19021.8,17117.1
Pincourt (2471070) V 00000,Immigrant,19.7,19.4,27.8,8.4,2471070,Montréal,2471070|Immigrant,3820.0,121100.0,3680.0,123600.0,140.0,57000.0,23856.7,23978.4,15846.0
Vancouver (5915022) CY 00000,Non-immigrants,22.9,18.4,26.8,8.4,5915022,Vancouver,5915022|Non-immigrants,266835.0,162600.0,124805.0,222200.0,142030.0,110400.0,37235.4,40884.799999999996,29587.2
Rosemère (2473020) V 00000,Non-immigrants,13.8,13.1,21.5,8.4,2473020,Montréal,2473020|Non-immigrants,11330.0,174800.0,10390.0,183600.0,935.0,77000.0,24122.4,24051.6,16555.0
Kirkland (2466102) V 00000,Immigrant,18.5,18.0,26.4,8.4,2466102,Montréal,2466102|Immigrant,8375.0,162800.0,7860.0,166000.0,520.0,114800.0,30118.0,29880.0,30307.2
Deux-Montagnes (2472010) V 00000,Immigrant,17.7,16.6,25.0,8.4,2472010,Montréal,2472010|Immigrant,3210.0,116000.0,2780.0,121600.0,430.0,80000.0,20532.0,20185.600000000002,20000.0
"Vancouver (CMA), B.C. 20000",Non-immigrants,20.6,17.8,26.2,8.4,,Vancouver,"Vancouver , B.C. 20000|Non-immigrants",1071675.0,159800.0,721210.0,185000.0,350465.0,107800.0,32918.8,32930.0,28243.6
Laval (2465005) V 00000,Non-immigrants,16.4,14.2,22.5,8.3,2465005,Montréal,2465005|Non-immigrants,231090.0,129800.0,170950.0,149400.0,60140.0,73900.0,21287.2,21214.8,16627.5
Ajax (3518005) T 00000,Non-immigrants,19.2,17.8,26.1,8.3,3518005,Toronto,3518005|Non-immigrants,46395.0,157200.0,38500.0,167800.0,7895.0,106300.0,30182.4,29868.4,27744.3
North Vancouver (5915046) DM 00000,Non-immigrants,18.7,17.3,25.6,8.3,5915046,Vancouver,5915046|Non-immigrants,49520.0,235800.0,41050.0,255800.0,8470.0,138400.0,44094.6,44253.4,35430.4
Sainte-Julie (2459010) V 00000,Total Immigrant Status,14.0,12.9,21.2,8.3,2459010,Montréal,2459010|Total Immigrant Status,29195.0,151000.0,25310.0,162000.0,3885.0,80100.0,21140.0,20898.0,16981.2
Canada 20000,Non-immigrants,17.7,15.6,23.8,8.2,,Canada,Canada 20000|Non-immigrants,23648635.0,131400.0,17535505.0,149200.0,6113130.0,80800.0,23257.8,23275.2,19230.4
Dollard-Des Ormeaux (2466142) V 00000,Non-immigrants,15.9,14.5,22.7,8.2,2466142,Montréal,2466142|Non-immigrants,19850.0,167600.0,16485.0,183600.0,3360.0,88700.0,26648.4,26622.0,20134.9
Pincourt (2471070) V 00000,Total Immigrant Status,16.9,16.3,24.5,8.2,2471070,Montréal,2471070|Total Immigrant Status,14615.0,127100.0,13500.0,131800.0,1115.0,71600.0,21479.9,21483.4,17542.0
Richmond Hill (3519038) T 00000,Total Immigrant Status,25.2,23.6,31.8,8.2,3519038,Toronto,3519038|Total Immigrant Status,189365.0,163800.0,153900.0,178000.0,35470.0,102600.0,41277.6,42008.0,32626.8
Beaumont (4811013) CY 00000,Non-immigrants,19.6,18.7,26.9,8.2,4811013,Edmonton,4811013|Non-immigrants,16140.0,162000.0,14360.0,169600.0,1785.0,101700.0,31752.0,31715.2,27357.3
North Vancouver (5915051) CY 00000,Non-immigrants,22.6,19.5,27.7,8.2,5915051,Vancouver,5915051|Non-immigrants,28880.0,157800.0,17695.0,190600.0,11185.0,105900.0,35662.8,37167.0,29334.3
Beaconsfield (2466107) V 00000,Immigrant,19.9,19.2,27.3,8.1,2466107,Montréal,2466107|Immigrant,6340.0,185200.0,5780.0,188200.0,555.0,153500.0,36854.799999999996,36134.4,41905.5
White Rock (5915007) CY 00000,Immigrant,26.5,24.4,32.5,8.1,5915007,Vancouver,5915007|Immigrant,6770.0,139000.0,4975.0,153000.0,1785.0,100100.0,36835.0,37332.0,32532.5
Sainte-Julie (2459010) V 00000,Non-immigrants,13.5,12.4,20.4,8.0,2459010,Montréal,2459010|Non-immigrants,26505.0,152600.0,22910.0,163800.0,3600.0,81200.0,20601.0,20311.2,16564.8
Oakville (3524001) T 00000,Immigrant,24.6,22.9,30.8,7.9,3524001,Toronto,3524001|Immigrant,110510.0,187000.0,87215.0,201600.0,23295.0,132200.0,46002.0,46166.4,40717.6
Orangeville (3522014) T 00000,Total Immigrant Status,21.5,20.0,27.9,7.9,3522014,Toronto,3522014|Total Immigrant Status,29395.0,135000.0,23765.0,147200.0,5630.0,84000.0,29025.0,29440.0,23436.0
Spruce Grove (4811049) CY 00000,Immigrant,22.1,20.3,28.2,7.9,4811049,Edmonton,4811049|Immigrant,4740.0,130400.0,3665.0,142000.0,1070.0,90600.0,28818.4,28826.0,25549.2
Aurora (3519046) T 00000,Total Immigrant Status,22.8,21.5,29.3,7.8,3519046,Toronto,3519046|Total Immigrant Status,59420.0,187200.0,49665.0,202400.0,9755.0,109800.0,42681.6,43516.0,32171.4
Brampton (3521010) CY 00000,Non-immigrants,20.6,18.8,26.6,7.8,3521010,Toronto,3521010|Non-immigrants,117295.0,145600.0,90670.0,160800.0,26620.0,94100.0,29993.6,30230.4,25030.6
Morinville (4811068) T 00000,Total Immigrant Status,19.7,18.5,26.3,7.8,4811068,Edmonton,4811068|Total Immigrant Status,10020.0,133400.0,8540.0,140400.0,1480.0,93000.0,26279.8,25974.0,24459.0
Beloeil (2457040) V 00000,Non-immigrants,16.6,14.9,22.7,7.8,2457040,Montréal,2457040|Non-immigrants,21815.0,125300.0,17195.0,138200.0,4620.0,77200.0,20799.800000000003,20591.8,17524.4
